_id,created_ID,degree_type,other_supervisor,title
61117c70d6f9d1d8a1249e72,3562453004,PhD,Prof Robert Lancaster,Dr Zak Quiney (current)
61117c70d6f9d1d8a1249e78,1103847708,EngD,Prof Cameron Pleydell-Pearce,Investigating Formability of Future Steel Grades Using Rapid Alloy Prototyping (current)
61117c70d6f9d1d8a1249e79,1103847708,EngD,Prof Cameron Pleydell-Pearce,Dr Elizabeth Sackett (current)
61117c71d6f9d1d8a1249e8b,2628949666,PhD,Prof Rubén Sevilla,Static and dynamic global stiffness analysis for automotive pre-design (current)
61117c71d6f9d1d8a1249e90,3562453004,PhD,Prof Martin Bache,Corrosion between composites and non-corrosion resistant steel (current)
61117c71d6f9d1d8a1249e91,3562453004,EngD,Prof Robert Lancaster,Prof Robert Lancaster (current)
61117c71d6f9d1d8a1249eaa,2628949666,PhD,Prof Rubén Sevilla,Prof Rubén Sevilla (current)
61117c72d6f9d1d8a1249ec7,2628949666,PhD,Prof Rubén Sevilla,To be defined (awarded 2021)
61117c72d6f9d1d8a1249ecb,9723241030,PhD,Prof Darren Oatley-Radcliffe,Improvement and Optimisation of Erwinase Fermentation (current)
61117c73d6f9d1d8a1249ee0,2628949666,PhD,Dr Paul Ledger,Prof Rubén Sevilla (awarded 2021)
61117c73d6f9d1d8a1249ee1,2628949666,PhD,Dr Paul Ledger,A new computational tool for multi-material solid dynamics (awarded 2020)
61117c73d6f9d1d8a1249ee5,9723241030,PhD,Dr Jesus Ojeda Ledo,Prof Darren Oatley-Radcliffe (current)
61117c73d6f9d1d8a1249efa,2628949666,PhD,Dr Chun Hean Lee,Prof Rubén Sevilla (awarded 2020)
61117c73d6f9d1d8a1249efb,2628949666,PhD,Prof Javier Bonet,Predictive Maintenance of an External Gear Pump using Machine Learning Algorithms (awarded 2019)
61117c74d6f9d1d8a1249eff,9723241030,PhD,Prof Nidal Hilal,The development of nano/polymer biopesticide formulations for improved control of western flower thrips (awarded 2020)
61117c74d6f9d1d8a1249f14,2628949666,PhD,Dr Paul Ledger,A Computational Framework for a first-order system of conservation laws in thermoelasticity (awarded 2019)
61117c74d6f9d1d8a1249f18,9723241030,PhD,Dr Paul Williams,Dr Jesus Ojeda Ledo (awarded 2019)
61117c75d6f9d1d8a1249f2d,2628949666,PhD,Prof Javier Bonet,Prof Rubén Sevilla (awarded 2018)
61117c75d6f9d1d8a1249f2e,2628949666,PhD,Prof Javier Bonet,Towards MRI scanner design: the Proper Generalised Decomposition method in the context of coupled magneto-mechanical problems (awarded 2018)
61117c75d6f9d1d8a1249f32,9723241030,PhD,Prof Karl Hawkins,"OPTIMIZATION OF FERTILIZER DRIVEN
FORWARD OSMOSIS PROCESS FOR BRACKISH
WATER DESALINATION (awarded 2019)"
61117c75d6f9d1d8a1249f47,2628949666,PhD,Dr Sam Rolland,Dr Paul Ledger (awarded 2018)
61117c75d6f9d1d8a1249f4b,9723241030,PhD,Dr Jesus Ojeda Ledo,Prof Nidal Hilal (awarded 2017)
61117c76d6f9d1d8a1249f60,2628949666,EngD,Dr Sam Rolland,3D simulation of magneto-mechanical coupling in MRI scanners using high order FEM and POD (current)
61117c76d6f9d1d8a1249f63,9723241030,PhD,Prof Nidal Hilal,"Antimicrobial Electrospun Nanofibrous Materials: Their Fabrication, Scalability and Functionality (awarded 2019)"
61117c77d6f9d1d8a1249f78,2628949666,EngD,Null,Dr Paul Ledger (current)
61117c77d6f9d1d8a1249f7b,9723241030,PhD,Prof Cameron Pleydell-Pearce,Dr Paul Williams (awarded 2019)
61117c78d6f9d1d8a1249f98,9723241030,PhD,Prof Nidal Hilal,The fabrication of novel polymer scaffolds for regenerative medicine based on collagen derived from jellyfish. (awarded 2018)
61117c78d6f9d1d8a1249fbd,9723241030,PhD,Dr Zhidao Xia,Prof Karl Hawkins (awarded 2018)
61117c79d6f9d1d8a1249fdc,9723241030,PhD,Prof Nidal Hilal,"'Assessing the fate of microplastics derived from industrial and domestic products in the water treatment process
' (awarded 2019)"
61117c79d6f9d1d8a1249fde,1431156887,PhD,Prof Amit Mehta,Novel antenna arrays for new low cost applications. (current)
61117c79d6f9d1d8a1249fdf,1431156887,PhD,Dr Zhongfu Zhou,Prof Amit Mehta (current)
61117c7ad6f9d1d8a1249ffa,9723241030,PhD,Dr Lewis Francis,Dr Jesus Ojeda Ledo (awarded 2018)
61117c7ad6f9d1d8a1249ffc,1431156887,PhD,Dr Mohammad Monfared,Residential PV Energy Management System (current)
61117c7ad6f9d1d8a1249ffd,1431156887,PhD,Dr Augustine Egwebe,Dr Zhongfu Zhou (awarded 2021)
61117c7ad6f9d1d8a124a016,9723241030,PhD,Dr Yon Ju-Nam,The development of a Novel Superhydrophobic Electrospun Membrane for Air Gap Membrane Distillation Application (awarded 2017)
61117c7ad6f9d1d8a124a018,1431156887,PhD,Dr Augustine Egwebe,Forecast-based energy management systems. (awarded 2021)
61117c7ad6f9d1d8a124a019,1431156887,PhD,Dr Augustine Egwebe,Dr Mohammad Monfared (awarded 2019)
61117c7bd6f9d1d8a124a02d,5066844442,PhD,Prof Darren Oatley-Radcliffe,"Renewable Energy from Solar, Biomass and Biofuels Resources (awarded 2021)"
61117c7bd6f9d1d8a124a033,9723241030,PhD,Prof Steve Wilks,Prof Nidal Hilal (awarded 2017)
61117c7bd6f9d1d8a124a035,1431156887,PhD,Prof Amit Mehta,Dr Augustine Egwebe (awarded 2018)
61117c7cd6f9d1d8a124a050,9723241030,EngD,Prof Paul Holland,Assessing the feasibility of bioremediation of Sinter Plant flue gas (current)
61117c7cd6f9d1d8a124a052,1431156887,PhD,Prof Amit Mehta,Design and control of Virtual Synchronous Machine based energy systems (awarded 2018)
61117c7cd6f9d1d8a124a053,1431156887,PhD,Prof Amit Mehta,Dr Augustine Egwebe (awarded 2017)
61117c7cd6f9d1d8a124a06e,9723241030,EngD,Prof Owen Guy,Prof Cameron Pleydell-Pearce (awarded 2019)
61117c7cd6f9d1d8a124a070,1431156887,MSc,Prof Paul Holland,Abnormal operation and control of distributed generation systems (awarded 2020)
61117c7dd6f9d1d8a124a08a,9723241030,MSc,Dr Paul Williams,"Engineering nanocomposite membranes; fabrication, modification and application (current)"
61117c7ed6f9d1d8a124a0a9,9723241030,MSc,Dr Chedly Tizaoui,Prof Nidal Hilal (current)
61117c7fd6f9d1d8a124a0c8,9723241030,MSc,Dr Rowan Brown,"''Fabrication and modification of PGLA microspheres for the production of 3D cell models '' (current)"
61117c7fd6f9d1d8a124a0d8,7548692994,PhD,Prof Nicholas Lavery,The effect of length scales and data resolution on image-based simulation (current)
61117c7fd6f9d1d8a124a0d9,7548692994,PhD,Prof Perumal Nithiarasu,Prof Nicholas Lavery (current)
61117c80d6f9d1d8a124a0e5,9723241030,MSc,Prof Owen Guy,Dr Zhidao Xia (awarded 2020)
61117c81d6f9d1d8a124a0ff,9723241030,MSc,Prof Kenith Meissner,"'Production of Novel Nanofibrous Materials Using the Free-Surface Electrospinning Technique' (awarded 2018)"
61117c82d6f9d1d8a124a131,6312147027,PhD,Dr Zari Tehrani,"Development of Graphene Based Biosensors for Early Detection of Alzheimer's Disease (current)"
61117c83d6f9d1d8a124a144,8877006022,PhD,Dr Catherine Groves,Raising critical consciousness in engineering education: a case study in the application of critical theories in engineering education and research (current)
61117c83d6f9d1d8a124a145,8877006022,PhD,Prof David Worsley,Dr Catherine Groves (current)
61117c83d6f9d1d8a124a14e,6312147027,PhD,Prof Owen Guy,Dr Zari Tehrani (current)
61117c83d6f9d1d8a124a14f,6312147027,PhD,Prof Owen Guy,Prof Owen Guy (current)
61117c83d6f9d1d8a124a161,8877006022,MPhil,Dr James Holness,Prof David Worsley (current)
61117c83d6f9d1d8a124a162,8877006022,MSc,Dr Frederic Boy,Dr James Holness (current)
61117c83d6f9d1d8a124a16b,6312147027,PhD,Prof Owen Guy,Creation and Optimisation of Plasma Etch Processes for the Manufacture of Silicon Microstructures (current)
61117c83d6f9d1d8a124a16c,6312147027,PhD,Prof Owen Guy,Prof Owen Guy (awarded 2021)
61117c84d6f9d1d8a124a187,6312147027,MSc,Prof Owen Guy,Microneedles for Theranostics (current)
61117c8ed6f9d1d8a124a34e,2497669132,PhD,Prof Nicholas Lavery,Microstructure Modification and Property Optimisation of IN713C Nickel Based Superalloy Produced via Investment Casting (current)
61117c8fd6f9d1d8a124a36d,2497669132,PhD,Prof Robert Lancaster,Prof Nicholas Lavery (current)
61117c90d6f9d1d8a124a38d,2497669132,PhD,Dr Will Harrison,Prof Robert Lancaster (awarded 2021)
61117c90d6f9d1d8a124a3ac,2497669132,PhD,Dr Soran Birosca,Dynamic Recrystallization and Recovery Occurrence and their Correlations with Grain Size Evolution During Forging In Advanced Polycrystalline Nickel Alloys. (current)
61117c91d6f9d1d8a124a3ca,2497669132,PhD,Dr Leo Prakash,Dr Will Harrison (awarded 2020)
61117c92d6f9d1d8a124a3e9,2497669132,EngD,Dr Leo Prakash,Dislocation Evolution and Crystallographic Texture Development during Non-Oriented Electrical Steel Processing (current)
61117c92d6f9d1d8a124a407,2497669132,EngD,Prof David Penney,Dr Soran Birosca (current)
61117c93d6f9d1d8a124a428,2497669132,EngD,Dr Mark Coleman,Microstructure evolution during shear deformation in metallic systems (current)
61117c93d6f9d1d8a124a429,2497669132,EngD,Dr Mark Coleman,Dr Leo Prakash (current)
61117c94d6f9d1d8a124a44b,2497669132,EngD,Prof David Penney,Microstructure Evolutin of Ti-6A1-4V During Hot Rolling and Low Temperature Annealing (current)
61117c95d6f9d1d8a124a46b,2497669132,EngD,Prof Cameron Pleydell-Pearce,Dr Leo Prakash (current)
61117c95d6f9d1d8a124a46c,2497669132,EngD,Prof David Penney,Development of MgZn Metallic Coated Steels for Automotive Steels (awarded 2019)
61117c95d6f9d1d8a124a48e,2497669132,EngD,Prof David Penney,Prof David Penney (awarded 2017)
61117c96d6f9d1d8a124a4ae,2497669132,EngD,Prof David Penney,Passivation layers on U-AHSS and HSS (awarded 2017)
61117c96d6f9d1d8a124a4af,2497669132,MRes,Prof George Fourlaris,Dr Mark Coleman (awarded 2018)
61117c97d6f9d1d8a124a4d0,2497669132,MRes,Prof James Sullivan,Dr Mark Coleman (awarded 2018)
61117c98d6f9d1d8a124a4f1,2497669132,MRes,Prof Steve Brown,Galvanised Ultra High Strength Steel for Cold Formed Body In White Application (awarded 2017)
61117c98d6f9d1d8a124a512,2497669132,MSc,Prof Steve Brown,Prof David Penney (awarded 2020)
61117ca2d6f9d1d8a124a666,3123117525,PhD,Dr Alison Williams,Numerical Modelling Assessment of a Vertical Axis Water Turbine System (current)
61117ca2d6f9d1d8a124a667,3123117525,EngD,Dr Ben Evans,Dr Alison Williams (current)
61117ca3d6f9d1d8a124a680,3123117525,EngD,Dr Will Harrison,Research to generate and develop CFD and experimental analysis of fluidic nozzles (awarded 2020)
61117ca3d6f9d1d8a124a681,3123117525,EngD,Prof Johann Sienz,Dr Ben Evans (current)
61117ca3d6f9d1d8a124a69a,3123117525,MSc,Dr Alison Williams,Predicting tearing failure in aluminium beverage can production through finite element analysis (awarded 2021)
61117ca3d6f9d1d8a124a69b,3123117525,MSc,Dr Will Harrison,Dr Will Harrison (awarded 2019)
61117ca5d6f9d1d8a124a6c2,6502847284,PhD,Dr Pavel Loskot,Study of Internet Connectivity and Internet Usage in Rural and Remote Areas. (awarded 2021)
61117ca5d6f9d1d8a124a6c3,6502847284,PhD,Dr Stefano Taccheo,Dr Pavel Loskot (awarded 2018)
61117ca7d6f9d1d8a124a728,2362482364,PhD,Dr Cecile Charbonneau,Synthesis and Surface functionalisation of TiO2 nanoparticles - Development of versatile colloidal formulations for the fabrication of photocatalytic self-cleaning glass. (current)
61117ca8d6f9d1d8a124a741,2362482364,PhD,Prof Andrew Barron,Dr Cecile Charbonneau (current)
61117ca9d6f9d1d8a124a761,9407956350,PhD,Prof Peter Holliman,Solar-Driven advanced oxidation processes for Greywater recycling in agricultural irrigation (current)
61117ca9d6f9d1d8a124a762,9407956350,PhD,Dr Paul Williams,Prof Peter Holliman (awarded 2020)
61117ca9d6f9d1d8a124a763,2362482364,PhD,Dr Enrico Andreoli,"ENERGY INNOVATION AND ACCESSIBILITY SOLUTIONS FOR SUSTAINABLE«br /»«br /»
DEVELOPMENT IN AFRICA«br /»«br /» (awarded 2021)"
61117ca9d6f9d1d8a124a77d,9407956350,EngD,Prof Richard Palmer,Functionalised Graphene Enhances Polyvinylidene Fluoride Membranes for Contaminated Water Treatment (current)
61117ca9d6f9d1d8a124a77e,9407956350,EngD,Prof Peter Holliman,Dr Paul Williams (current)
61117ca9d6f9d1d8a124a77f,2362482364,PhD,Dr Enrico Andreoli,Prof Andrew Barron (awarded 2019)
61117caad6f9d1d8a124a79e,9407956350,EngD,Prof Richard Palmer,"New Material for Catalysis: solvent-free synthesis, atomic imaging and selectivity via nanoparticle beam deposition (current)"
61117caad6f9d1d8a124a79f,9407956350,EngD,Prof Richard Palmer,Prof Richard Palmer (current)
61117caad6f9d1d8a124a7a0,2362482364,PhD,Dr Enrico Andreoli,Materials Coatings and Enhanced Characterisation for Alkaline Water-Splitting Devices (awarded 2019)
61117caad6f9d1d8a124a7a1,2362482364,PhD,Dr Enrico Andreoli,Dr Enrico Andreoli (awarded 2019)
61117caad6f9d1d8a124a7b3,4285762722,PhD,Dr Zoran Jelic,"Design and Optimisation of Electric Propulsion for«br /»«br /»«br /»
Spacecraft Using Numerical and Experimental Methods«br /»«br /»«br /» (current)"
61117cabd6f9d1d8a124a7b7,3793088014,PhD,Dr Chris Jobling,"'Self-Mapping Wireless Networks with Graph Theory' (awarded 2017)"
61117cabd6f9d1d8a124a7bb,2228573450,PhD,Dr Matt Carnie,User Experience Enhanced Interface and Controller Design for Human-Robot Interaction (awarded 2019)
61117cabd6f9d1d8a124a7bc,2228573450,EngD,Dr Zak Abdallah,Forensic Analysis of Weathered Organic Coatings to Understand Mechanisms of Degradation (current)
61117cabd6f9d1d8a124a7c0,9407956350,MSc,Dr Christopher Wright,Advanced Wastewater Treatment for the Separation and Minimisation of Residual Oil at Tata Steel (current)
61117cabd6f9d1d8a124a7c1,9407956350,MSc,Dr Geertje Van Keulen,Prof Peter Holliman (current)
61117cabd6f9d1d8a124a7c2,2362482364,MSc,Dr Shirin Alexander,Polyamine and MOF Sorbents for Enhanced Carbon Capture (current)
61117cabd6f9d1d8a124a7c3,2362482364,MSc,Dr Alvin Orbaek White,Dr Enrico Andreoli (current)
61117cabd6f9d1d8a124a7d3,4285762722,PhD,Prof Oubay Hassan,Dr Zoran Jelic (current)
61117cabd6f9d1d8a124a7d4,4285762722,PhD,Dr Sean Walton,Development of transonic and supersonic CFD modelling and design optimisation techniques for spaceplanes (current)
61117cabd6f9d1d8a124a7dc,2228573450,EngD,Dr Grazia Todeschini,Dr Matt Carnie (current)
61117cabd6f9d1d8a124a7dd,2228573450,EngD,Dr Cinzia Giannetti,Development of Cr Free Rolls for Steel Production to meet New Environmental Challenges (current)
61117cabd6f9d1d8a124a7e1,9407956350,MSc,Prof Richard Palmer,Resource capture from oily steel making sludge and scales for recycling and environmental protection (current)
61117cabd6f9d1d8a124a7e3,2362482364,MSc,Dr Alvin Orbaek White,Zero gap cell design for alkaline electrolysis (current)
61117cabd6f9d1d8a124a7e4,2362482364,MSc,Dr Alvin Orbaek White,Dr Enrico Andreoli (current)
61117cacd6f9d1d8a124a7f5,4285762722,PhD,Dr Alvin Orbaek White,Prof Oubay Hassan (current)
61117cacd6f9d1d8a124a7f6,4285762722,PhD,Dr Marinos Manolesos,Optimising and Understanding the novel Infinity Winglet Concept in the context of green aircraft and wind turbine blade design (current)
61117cacd6f9d1d8a124a7fe,2228573450,EngD,Dr Cinzia Giannetti,Dr Zak Abdallah (current)
61117cacd6f9d1d8a124a7ff,2228573450,EngD,Dr Andrew Rees,Automated Ladle Pouring in the Steel Industry (current)
61117cacd6f9d1d8a124a804,2362482364,MSc,Dr Alvin Orbaek White,Developing bi-phasic water-splitting photocatalysts for solar energy harvesting (awarded 2021)
61117cacd6f9d1d8a124a805,2362482364,MSc,Dr Alvin Orbaek White,Dr Enrico Andreoli (awarded 2019)
61117cadd6f9d1d8a124a818,4285762722,PhD,Prof Oubay Hassan,Dr Sean Walton (awarded 2017)
61117cadd6f9d1d8a124a819,4285762722,EngD,Dr Ian Mabbett,Effects of nanofluid on single-walled carbon nanotubes growth during Chemical Vapour Deposition process (awarded 2021)
61117cadd6f9d1d8a124a81e,2228573450,EngD,Dr Sam Rolland,Dr Grazia Todeschini (current)
61117cadd6f9d1d8a124a81f,2228573450,MSc,Dr Ashraf Fahmy Abdo,"The Development and Implementation of«br /»
Sustainable AI Systems in the Automotive«br /»
Industry (current)"
61117cadd6f9d1d8a124a823,2362482364,MSc,Dr Alvin Orbaek White,Untitled (awarded 2019)
61117cadd6f9d1d8a124a835,4285762722,EngD,Dr Nick Croft,Dr Alvin Orbaek White (current)
61117cadd6f9d1d8a124a836,4285762722,MSc,Dr Marinos Manolesos,Innovative flow control for flatback airfoils (current)
61117caed6f9d1d8a124a83b,2228573450,MSc,Dr Ian Cameron,Dr Cinzia Giannetti (awarded 2021)
61117caed6f9d1d8a124a83c,2228573450,MSc,Dr Ashraf Fahmy Abdo,Development and integration of Industry 4.0 Collaborative Robots into Engine Manufacture (current)
61117caed6f9d1d8a124a840,2362482364,MSc,Prof Andrew Barron,Dr Shirin Alexander (awarded 2018)
61117caed6f9d1d8a124a855,4285762722,MSc,Prof Kenneth Morgan,Dr Marinos Manolesos (awarded 2019)
61117caed6f9d1d8a124a85b,2228573450,MSc,Dr Andrew Rees,Dr Cinzia Giannetti (awarded 2020)
61117caed6f9d1d8a124a85c,2228573450,MSc,Null,Production of components through microcellular processing (awarded 2018)
61117cafd6f9d1d8a124a876,7872784215,PhD,Dr Yon Ju-Nam,Electrochemiluminescence (ECL) applied at enzyme encapsulated alginate hydrogels (current)
61117cafd6f9d1d8a124a877,7872784215,PhD,Prof Kenith Meissner,Dr Yon Ju-Nam (current)
61117cb0d6f9d1d8a124a89f,7872784215,PhD,Dr Yon Ju-Nam,Understanding novel protein-derived biopolymers to enable biomimetic devices (current)
61117cb0d6f9d1d8a124a8a0,7872784215,PhD,Prof Nidal Hilal,Prof Kenith Meissner (awarded 2019)
61117cb1d6f9d1d8a124a8c3,7872784215,PhD,Dr Yon Ju-Nam,Preparation and electrochemical characterisation of anion exchange polymer coated electrodes towards sensing applications (awarded 2020)
61117cb1d6f9d1d8a124a8ce,1493790403,PhD,Dr Daniel Curtis,Frictional Fluid Flow Patterns in Complex Geometries. (current)
61117cb1d6f9d1d8a124a8cf,1493790403,PhD,Dr Bjornar Sandnes,Dr Daniel Curtis (current)
61117cb2d6f9d1d8a124a8e5,7872784215,PhD,Dr Yon Ju-Nam,Dr Yon Ju-Nam (awarded 2019)
61117cb2d6f9d1d8a124a8e6,7872784215,PhD,Dr Yon Ju-Nam,Periodical Electrolysis for advance water treatment (awarded 2018)
61117cb2d6f9d1d8a124a8f2,1493790403,PhD,Prof Chenfeng Li,Dr Bjornar Sandnes (awarded 2020)
61117cb2d6f9d1d8a124a909,7872784215,EngD,Prof Serena Margadonna,Prof Nidal Hilal (current)
61117cb2d6f9d1d8a124a90a,7872784215,MSc,Dr Yon Ju-Nam,Fabrication of ionomer/Graphite nanoplatelets thin films for sensing applications (awarded 2019)
61117cb4d6f9d1d8a124a944,9926386985,PhD,Dr Francisco Martin-Martinez,Development of bioinspired nanomaterials from biomass (current)
61117cb4d6f9d1d8a124a945,9926386985,PhD,Dr Iain Robertson,Dr Francisco Martin-Martinez (current)
61117cb4d6f9d1d8a124a963,9926386985,PhD,Prof Kam Tang,Remediation of contaminated motorway runoff preventing the mobilisation of toxic pollutants into the environment (current)
61117cb4d6f9d1d8a124a964,9926386985,EngD,Dr Francisco Martin-Martinez,Dr Iain Robertson (current)
61117cb5d6f9d1d8a124a982,9926386985,EngD,Dr James Holness,Circular economic approaches to biological wastes in developing nations (current)
61117cb5d6f9d1d8a124a983,9926386985,EngD,Dr James Holness,Prof Kam Tang (awarded 2021)
61117cb6d6f9d1d8a124a9a1,9926386985,EngD,Dr Ben Evans,Sustainable Paint - Removing the Reliance on Fossil Fuels (current)
61117cb6d6f9d1d8a124a9a2,9926386985,EngD,Prof Peter Holliman,Dr Francisco Martin-Martinez (current)
61117cb7d6f9d1d8a124a9c2,9926386985,EngD,Prof David Worsley,Application of integrated renewables in closed sanitation systems (current)
61117cb7d6f9d1d8a124a9c3,9926386985,EngD,Dr Matt Carnie,Dr James Holness (awarded 2020)
61117cb8d6f9d1d8a124a9e1,9926386985,EngD,Prof David Worsley,Dr James Holness (awarded 2020)
61117cb8d6f9d1d8a124a9e2,9926386985,MSc,Prof Geraint Williams,"The application of computational fluid dynamics to the modelling
and design of high speed boats (current)"
61117cb9d6f9d1d8a124aa15,5443167864,PhD,Dr Helen Davies,Remnant Life Assessment based on the Small Punch Test and the Wilshire Equations (current)
61117cb9d6f9d1d8a124aa16,5443167864,MSc,Dr Will Harrison,Dr Helen Davies (current)
61117cbad6f9d1d8a124aa1c,5097924645,PhD,Prof Djordje Peric,Combined Experimental and Computational Modelling of Traumatic Liver Injury (current)
61117cbad6f9d1d8a124aa1d,5097924645,PhD,Prof Djordje Peric,Prof Djordje Peric (current)
